"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Seychelles","SYC","Eastern & Southern Africa","High income","Never Gavi",0.984602706939938,0.965739864526817,1.00346554935306,0.97,-0.0146027069399384,-0.0334655493530598,0.00426013547318316,FALSE,0.0377256848262429
"Sierra Leone","SLE","West & Central Africa","Low income","Initial self-financing",0.95,0.800530421438358,1.09946957856164,0.91,-0.0399999999999999,-0.189469578561642,0.109469578561642,FALSE,0.298939157123284
"Slovakia","SVK","Western Europe","High income","Never Gavi",0.976196713136292,0.968629608669292,0.983763817603292,0.97,-0.00619671313629166,-0.0137638176032916,0.00137039133070826,FALSE,0.0151342089339999
"Slovenia","SVN","Western Europe","High income","Never Gavi",0.948703815779011,0.928183821173297,0.969223810384725,0.95,0.00129618422098932,-0.0192238103847246,0.0218161788267033,FALSE,0.0410399892114279
"Solomon Islands","SLB","East Asia & Pacific","Lower middle income","Accelerated transition phase",0.869,0.763184870873266,0.974815129126734,0.94,0.071,-0.0348151291267341,0.176815129126734,FALSE,0.211630258253468
"Somalia","SOM","Eastern & Southern Africa","Low income","Initial self-financing",0.42,0.326622980851711,0.513377019148289,0.42,0,-0.0933770191482892,0.0933770191482892,FALSE,0.186754038296578
"South Africa","ZAF","Eastern & Southern Africa","Upper middle income","Never Gavi",0.85,0.776664128206753,0.923335871793247,0.84,-0.01,-0.083335871793247,0.063335871793247,FALSE,0.146671743586494
"Spain","ESP","Western Europe","High income","Never Gavi",0.965499999999964,0.948114311788804,0.982885688211124,0.98,0.0145000000000356,-0.00288568821112445,0.0318856882111956,FALSE,0.0347713764223201
"Sri Lanka","LKA","South Asia","Lower middle income","Fully self-financing",0.99,0.976762506626411,1.00323749337359,0.96,-0.03,-0.0432374933735888,-0.0167625066264112,TRUE,0.0264749867471776
"State of Palestine","PSE","Middle East & North Africa","Lower middle income","Never Gavi",0.99,0.957572827880185,1.02242717211981,0.99,0,-0.0324271721198148,0.0324271721198149,FALSE,0.0648543442396298
"Sudan","SDN","Eastern & Southern Africa","Low income","Accelerated transition phase",0.946315789473643,0.867587899669616,1.02504367927767,0.9,-0.0463157894736433,-0.125043679277671,0.0324121003303844,FALSE,0.157455779608056
"Suriname","SUR","Latin America & Caribbean","Upper middle income","Never Gavi",0.773675699474721,0.658511312742473,0.888840086206968,0.51,-0.263675699474721,-0.378840086206968,-0.148511312742473,TRUE,0.230328773464495
"Sweden","SWE","Western Europe","High income","Never Gavi",0.98,0.96993574741873,0.99006425258127,0.97,-0.01,-0.0200642525812695,6.42525812695194e-05,FALSE,0.0201285051625391
"Switzerland","CHE","Western Europe","High income","Never Gavi",0.961578947368421,0.954223733761827,0.968934160975015,0.96,-0.00157894736842112,-0.00893416097501487,0.00577626623817262,FALSE,0.0147104272131875
